Time,Temperature,Pressure,Time,Temperature,Pressure
0,25.4307748988,105.510407236,Z2 1:,Z2 1:,Z2 1:
1,25.5235245727,105.573529794,,,
2,25.5930853298,105.822074864,,,
3,25.6611959921,105.822074864,,,
4,25.7771277882,105.885197421,,,
5,25.8466866141,106.011442536,,,
6,26.0307294039,106.011442536,,,
7,26.1220284784,106.074565094,,,
8,26.1915912726,106.200810209,,,
9,26.2611557861,106.701845509,,,
10,26.3524623355,106.386232721,,,
11,26.4452224876,106.386232721,,,
12,26.5147958771,106.512477836,,,
13,26.6293090808,106.512477836,,,
14,26.745281913,106.764968066,,,
15,26.859816436,106.638722951,,,
16,26.9294131247,106.701845509,,,
17,27.0222165061,106.764968066,,,
18,27.0903750471,106.764968066,,,
19,27.1831955003,106.891213181,,,
20,27.3209960572,107.076635694,,,
21,27.4138447701,107.266003366,,,
22,27.5052550629,107.076635694,,,
23,27.598129566,107.392248481,,,
24,27.714242579,107.518493596,,,
25,27.8056979868,107.518493596,,,
26,27.8986206491,107.329125924,,,
27,28.01334479,107.329125924,,,
28,28.0830633995,107.266003366,,,
29,28.1745843734,107.455371039,,,
30,28.2908275193,107.455371039,,,
31,28.3838438909,107.830161224,,,
32,28.5219525544,107.893283781,,,
33,28.6150204826,108.082651454,,,
34,28.7299316483,107.956406339,,,
35,28.8230497757,107.893283781,,,
36,28.9613158073,107.703916109,,,
37,29.0544940148,107.830161224,,,
38,29.1462411676,108.082651454,,,
39,29.2627821239,108.268073966,,,
40,29.4245530924,108.646809311,,,
41,29.5630732984,108.583686754,,,
42,29.6797720963,108.773054426,,,
43,29.8184136246,108.773054426,,,
44,29.9118531363,108.773054426,,,
45,30.0506119485,108.958476939,,,
46,30.16751822,108.958476939,,,
47,30.3064139032,108.773054426,,,
48,30.4000294035,108.836176983,,,
49,30.5624796143,109.084722053,,,
50,30.7250420186,109.274089726,,,
51,30.8657299855,109.337212283,,,
52,31.0285119574,109.522634796,,,
53,31.1459085303,109.147844611,,,
54,31.2854021614,109.400334841,,,
55,31.4029439291,109.775125026,,,
56,31.5426141376,109.585757353,,,
57,31.7059337822,109.522634796,,,
58,31.847295613,109.400334841,,,
59,32.0108787172,109.712002468,,,
60,32.174608764,109.838247583,,,
61,32.3384897276,110.027615256,,,
62,32.5276621403,110.276160326,,,
63,32.6918816122,110.339282883,,,
64,32.8562646314,110.027615256,,,
65,32.9985687283,110.339282883,,,
66,33.1632675439,110.528650556,,,
67,33.3281415241,110.276160326,,,
68,33.4470805332,110.339282883,,,
69,33.5884436633,110.276160326,,,
70,33.7314330438,110.213037768,,,
71,33.9208141061,110.840318183,,,
72,34.1104492283,110.903440741,,,
73,34.27640629,111.092808413,,,
74,34.4201003279,110.966563298,,,
75,34.5624497623,110.528650556,,,
76,34.6824423722,110.840318183,,,
77,34.8250777192,110.903440741,,,
78,34.9919375028,110.781140786,,,
79,35.1123338441,110.528650556,,,
80,35.2554561072,110.903440741,,,
81,35.3761096796,110.903440741,,,
82,35.5195420408,111.345298643,,,
83,35.7599892964,111.345298643,,,
84,35.9523999678,111.846333943,,,
85,36.1694380486,111.846333943,,,
86,36.362543031,111.846333943,,,
87,36.5087355377,111.530721156,,,
88,36.6291863668,111.345298643,,,
89,36.8001823386,111.408421201,,,
90,36.9454383796,111.846333943,,,
91,37.1399360855,111.656966271,,,
92,37.3117641871,111.345298643,,,
93,37.5069544522,111.720088828,,,
94,37.6532098185,111.720088828,,,
95,37.8243698022,111.909456501,,,
96,37.9479127688,111.593843713,,,
97,38.0948235078,111.656966271,,,
98,38.2187112801,111.783211386,,,
99,38.3660366901,111.720088828,,,
100,38.4902780771,111.783211386,,,
101,38.6380286857,112.599859473,,,
102,38.7875735824,112.599859473,,,
103,38.9358004416,112.726104588,,,
104,39.1092981989,112.785281986,,,
105,39.2846986083,112.785281986,,,
106,39.4086265813,112.785281986,,,
107,39.5830480518,112.785281986,,,
108,39.7341804886,112.785281986,,,
109,39.909257492,112.9115271,,,
110,40.0846936405,112.9115271,,,
111,40.2367159738,112.726104588,,,
112,40.3620246806,112.848404543,,,
113,40.4891121873,112.599859473,,,
114,40.6148033142,112.785281986,,,
115,40.8172691413,113.290262445,,,
116,40.9962422926,113.353385003,,,
117,41.1740123898,113.100894773,,,
118,41.3778966137,112.848404543,,,
119,41.5323656251,112.848404543,,,
120,41.6855278646,113.290262445,,,
121,41.8907577182,113.227139888,,,
122,42.0462585535,113.227139888,,,
123,42.2264553264,113.4125624,,,
124,42.407085735,113.227139888,,,
125,42.5375421471,113.100894773,,,
126,42.6665942829,113.4125624,,,
127,42.8237232303,113.353385003,,,
128,42.9795497788,113.538807515,,,
129,43.1620474986,113.353385003,,,
130,43.320258884,113.227139888,,,
131,43.5036307629,113.037772215,,,
132,43.6609501023,113.290262445,,,
133,43.7937042186,113.4125624,,,
134,43.89842658,113.538807515,,,
135,44.0316361077,113.4125624,,,
136,44.138389586,113.854420303,,,
137,44.297159403,113.728175188,,,
138,44.4563006691,113.538807515,,,
139,44.644402884,113.728175188,,,
140,44.7774002,113.91754286,,,
141,44.9123521451,113.854420303,,,
142,45.0188205688,113.854420303,,,
143,45.1813896791,113.980665418,,,
144,45.3154736913,114.102965373,,,
145,45.504338127,114.292333045,,,
146,45.6134840012,114.102965373,,,
147,45.7484668012,114.355455603,,,
148,45.858028983,113.791297745,,,
149,45.9952472102,113.91754286,,,
150,46.1035159414,113.91754286,,,
151,46.2412683314,113.728175188,,,
152,46.349961383,113.728175188,,,
153,46.4882572894,114.229210488,,,
154,46.5973820884,114.544823275,,,
155,46.736231021,114.41857816,,,
156,46.929403981,114.544823275,,,
157,47.0690066842,114.793368345,,,
158,47.2352019886,114.730245788,,,
159,47.3755108022,114.043787975,,,
160,47.514387435,114.102965373,,,
161,47.6553509102,114.607945833,,,
162,47.8231793551,114.41857816,,,
163,47.9365111488,114.481700718,,,
164,48.1335889871,114.607945833,,,
165,48.2742559965,114.793368345,,,
166,48.4170500664,114.982736018,,,
167,48.5584046538,114.730245788,,,
168,48.7306441299,114.544823275,,,
169,48.843957317,114.481700718,,,
170,48.988171153,114.607945833,,,
171,49.1599006045,114.793368345,,,
172,49.2468672815,114.793368345,,,
173,49.3902921336,114.982736018,,,
174,49.5359060684,114.91961346,,,
175,49.6508440268,114.91961346,,,
176,49.7971391055,115.610016433,,,
177,50.0007641368,115.235226248,,,
178,50.1479877403,114.856490903,,,
179,50.3233296412,114.91961346,,,
180,50.412137546,115.546893875,,,
181,50.5586163567,115.298348805,,,
182,50.7073531114,115.045858575,,,
183,50.8247718961,115.357526203,,,
184,50.9443170576,115.108981133,,,
185,51.0641289546,115.235226248,,,
186,51.1823313584,115.546893875,,,
187,51.3026788283,115.17210369,,,
188,51.421412583,114.856490903,,,
189,51.51205529,114.91961346,,,
190,51.6331546494,115.235226248,,,
191,51.7526343814,115.357526203,,,
192,51.9962284918,115.045858575,,,
193,52.1165410905,115.42064876,,,
194,52.2390491856,115.610016433,,,
195,52.3292008224,115.357526203,,,
196,52.4830130915,115.736261548,,,
