Time,Pressure,Temperature
0,100.460602638,23.6017705363
1,100.460602638,23.6017705363
2,100.460602638,23.6017705363
3,100.401425241,23.6017705363
4,100.401425241,23.6017705363
5,100.401425241,23.6017705363
6,100.401425241,23.6250083815
7,100.460602638,23.6250083815
8,100.401425241,23.6250083815
9,100.401425241,23.6017705363
10,100.401425241,23.6017705363
11,100.460602638,23.6250083815
12,100.401425241,23.6250083815
13,100.401425241,23.6017705363
14,100.401425241,23.6017705363
15,100.401425241,23.6017705363
16,100.460602638,23.6017705363
17,100.460602638,23.6017705363
18,100.401425241,23.6250083815
19,100.401425241,23.6017705363
20,100.401425241,23.6017705363
21,100.460602638,23.6017705363
22,100.460602638,23.6250083815
23,100.523725196,23.6017705363
24,100.523725196,23.6017705363
25,100.523725196,23.6250083815
26,100.523725196,23.6250083815
27,100.523725196,23.6250083815
28,100.586847753,23.6482451334
29,100.586847753,23.6250083815
30,100.586847753,23.6250083815
31,100.586847753,23.6482451334
32,100.649970311,23.6700286059
33,100.713092868,23.6482451334
34,100.713092868,23.6482451334
35,100.776215426,23.6482451334
36,100.776215426,23.6482451334
37,100.776215426,23.6700286059
38,100.839337983,23.6700286059
39,100.839337983,23.6482451334
40,100.902460541,23.6482451334
41,100.902460541,23.6700286059
42,101.024760496,23.6932632733
43,101.024760496,23.6700286059
44,101.087883053,23.6700286059
45,101.087883053,23.7164968822
46,101.151005611,23.6932632733
47,101.214128168,23.7397294445
48,101.277250726,23.7164968822
49,101.277250726,23.7397294445
50,101.277250726,23.7397294445
51,101.340373283,23.7629609721
52,101.403495841,23.7629609721
53,101.403495841,23.7629609721
54,101.462673238,23.7861914768
55,101.588918353,23.8094209704
56,101.525795796,23.8094209704
57,101.652040911,23.8094209704
58,101.715163468,23.8544252815
59,101.841408583,23.8776518736
60,101.900585981,23.9008775013
61,101.900585981,23.9008775013
62,102.026831096,23.9008775013
63,102.089953653,23.9241021763
64,102.089953653,23.9241021763
65,102.216198768,23.9705487155
66,102.279321326,24.0169915857
67,102.342443883,24.0387604448
68,102.342443883,24.0619797064
69,102.401621281,24.0851980971
70,102.527866396,24.1084156287
71,102.590988953,24.131632313
72,102.780356626,24.1780631865
73,102.780356626,24.1780631865
74,102.843479183,24.2230399966
75,102.902656581,24.2694645646
76,103.092024253,24.2926756939
77,103.092024253,24.3623046035
78,103.155146811,24.3840622958
79,103.092024253,24.3840622958
80,103.218269368,24.4304766383
81,103.344514483,24.4768882419
82,103.403691881,24.500093046
83,103.529936996,24.5682534443
84,103.593059553,24.6146574675
85,103.656182111,24.6610591225
86,103.845549783,24.6842590909
87,103.967849738,24.7524058196
88,103.967849738,24.798800992
89,104.094094853,24.8451941654
90,104.094094853,24.9133307092
91,104.220339968,24.9829130279
92,104.468885038,25.0292991825
93,104.532007596,25.0756837987
94,104.721375268,25.1438086087
95,104.721375268,25.1901898232
96,104.784497825,25.2597593908
97,105.033042895,25.3742541631
98,105.033042895,25.3974423008
99,105.033042895,25.4887437448
100,105.096165453,25.5583050881
101,105.344710523,25.6264161739
102,105.344710523,25.7191620214
103,105.597200753,25.8104580549
104,105.534078195,25.8800169328
105,105.845745823,26.0176868367
106,105.845745823,26.1104348249
107,105.971990938,26.2017359831
108,106.16135861,26.2944894817
109,106.224481168,26.3857974795
110,106.287603725,26.4785593632
111,106.346781123,26.5466847144
112,106.536148795,26.6394562778
113,106.788639025,26.7075895419
